Theta_T,Theta_S,Alpha,Beta,Gamma,Avg_TR_F1,Avg_Cluster_ARI_All,Avg_Cluster_ARI_GT_Only
0.45,0.55,0.75,0.15,0.1,0.6819,0.15,0.75
0.45,0.55,0.75,0.2,0.05,0.6819,0.15,0.75
0.45,0.55,0.8,0.15,0.05,0.6819,0.15,0.75
0.2,0.7,0.55,0.25,0.2,0.1773,-0.0241,0.7
0.45,0.6,0.5,0.3,0.2,0.6819,0.1,0.7
0.45,0.6,0.65,0.2,0.15,0.6819,0.1,0.7
0.45,0.6,0.75,0.15,0.1,0.6819,0.1,0.7
0.35,0.7,0.55,0.25,0.2,0.4843,-0.0263,0.7
0.2,0.7,0.5,0.35,0.15,0.1773,-0.0192,0.7
0.45,0.55,0.6,0.25,0.15,0.6819,0.1,0.7
0.45,0.55,0.55,0.35,0.1,0.6819,0.1,0.7
0.45,0.55,0.55,0.3,0.15,0.6819,0.1,0.7
0.45,0.55,0.5,0.4,0.1,0.6819,0.1,0.7
0.45,0.6,0.55,0.3,0.15,0.6819,0.1,0.7
0.45,0.6,0.55,0.25,0.2,0.6819,0.1,0.7
0.3,0.7,0.55,0.25,0.2,0.3941,-0.0621,0.7
0.45,0.6,0.6,0.25,0.15,0.6819,0.1,0.7
0.35,0.7,0.5,0.3,0.2,0.4843,-0.0263,0.7
0.3,0.7,0.6,0.25,0.15,0.3941,-0.0536,0.7
0.3,0.7,0.5,0.3,0.2,0.3941,-0.0619,0.7
0.3,0.7,0.65,0.2,0.15,0.3941,-0.0531,0.7
0.4,0.65,0.6,0.35,0.05,0.5922,0.0585,0.7
0.4,0.65,0.65,0.3,0.05,0.5922,0.0585,0.7
0.4,0.65,0.7,0.25,0.05,0.5922,0.0585,0.7
0.4,0.65,0.75,0.2,0.05,0.5922,0.0537,0.7
0.4,0.65,0.5,0.4,0.1,0.5922,0.0545,0.7
0.4,0.7,0.55,0.3,0.15,0.5922,0.0385,0.7
0.25,0.7,0.55,0.25,0.2,0.2716,-0.0701,0.7
0.25,0.7,0.5,0.35,0.15,0.2716,-0.0581,0.7
0.25,0.7,0.6,0.25,0.15,0.2716,-0.0664,0.7
0.25,0.7,0.65,0.2,0.15,0.2716,-0.0738,0.7
0.25,0.7,0.65,0.25,0.1,0.2716,-0.0474,0.7
0.4,0.7,0.6,0.25,0.15,0.5922,0.0358,0.7
0.4,0.65,0.55,0.4,0.05,0.5922,0.0585,0.7
0.35,0.7,0.65,0.2,0.15,0.4843,-0.0246,0.7
0.35,0.7,0.6,0.25,0.15,0.4843,-0.0288,0.7
0.2,0.7,0.65,0.2,0.15,0.1773,-0.0246,0.7
0.45,0.55,0.5,0.3,0.2,0.6819,0.1,0.7
0.45,0.55,0.55,0.25,0.2,0.6819,0.1,0.7
0.45,0.55,0.5,0.35,0.15,0.6819,0.1,0.7
0.45,0.65,0.8,0.15,0.05,0.6819,0.1134,0.65
0.45,0.6,0.6,0.35,0.05,0.6819,0.1082,0.65
0.45,0.6,0.8,0.15,0.05,0.6819,0.1082,0.65
0.45,0.6,0.7,0.25,0.05,0.6819,0.1082,0.65
0.45,0.6,0.75,0.2,0.05,0.6819,0.1082,0.65
0.45,0.55,0.5,0.45,0.05,0.6819,0.1082,0.65
0.45,0.6,0.5,0.35,0.15,0.6819,0.1082,0.65
0.45,0.6,0.65,0.25,0.1,0.6819,0.1082,0.65
0.45,0.6,0.7,0.2,0.1,0.6819,0.1082,0.65
0.4,0.7,0.55,0.25,0.2,0.5922,0.0446,0.65
0.4,0.7,0.5,0.3,0.2,0.5922,0.0485,0.65
0.4,0.65,0.5,0.45,0.05,0.5922,0.0725,0.65
0.4,0.7,0.65,0.2,0.15,0.5922,0.0455,0.65
0.25,0.7,0.6,0.3,0.1,0.2716,-0.0574,0.65
0.2,0.7,0.6,0.3,0.1,0.1773,-0.0127,0.65
0.35,0.7,0.65,0.25,0.1,0.4843,-0.0157,0.65
0.2,0.7,0.6,0.35,0.05,0.1773,-0.0091,0.65
0.45,0.65,0.5,0.3,0.2,0.6819,0.1082,0.65
0.45,0.6,0.6,0.3,0.1,0.6819,0.1082,0.65
0.45,0.6,0.65,0.3,0.05,0.6819,0.1082,0.65
0.45,0.6,0.55,0.35,0.1,0.6819,0.1082,0.65
0.45,0.65,0.7,0.2,0.1,0.6819,0.1082,0.65
0.3,0.7,0.65,0.25,0.1,0.3941,-0.0248,0.65
0.45,0.65,0.55,0.25,0.2,0.6819,0.1082,0.65
0.45,0.65,0.55,0.3,0.15,0.6819,0.1047,0.65
0.45,0.65,0.6,0.25,0.15,0.6819,0.1082,0.65
0.45,0.65,0.65,0.2,0.15,0.6819,0.1082,0.65
0.3,0.7,0.5,0.35,0.15,0.3941,-0.015,0.65
0.45,0.65,0.75,0.15,0.1,0.6819,0.1082,0.65
0.45,0.55,0.55,0.4,0.05,0.6819,0.1082,0.65
0.45,0.6,0.5,0.4,0.1,0.6819,0.1082,0.65
0.35,0.7,0.5,0.35,0.15,0.4843,0.0035,0.65
0.25,0.7,0.6,0.35,0.05,0.2716,-0.0347,0.6
0.45,0.6,0.55,0.4,0.05,0.6819,0.1198,0.6
0.3,0.7,0.6,0.3,0.1,0.3941,-0.012,0.6
0.45,0.65,0.5,0.35,0.15,0.6819,0.1162,0.6
0.45,0.65,0.55,0.35,0.1,0.6819,0.1283,0.6
0.35,0.7,0.6,0.3,0.1,0.4843,0.0029,0.6
0.4,0.7,0.5,0.35,0.15,0.5922,0.0618,0.6
0.2,0.7,0.7,0.25,0.05,0.1773,-0.0362,0.6
0.2,0.7,0.7,0.2,0.1,0.1773,-0.0086,0.6
0.45,0.65,0.6,0.3,0.1,0.6819,0.0957,0.6
0.45,0.6,0.5,0.45,0.05,0.6819,0.1198,0.6
0.45,0.65,0.65,0.25,0.1,0.6819,0.0957,0.6
0.5,0.5,0.6,0.35,0.05,0.6305,0.2,0.55
0.45,0.65,0.75,0.2,0.05,0.6819,0.1009,0.55
0.5,0.5,0.55,0.25,0.2,0.6305,0.2,0.55
0.5,0.5,0.5,0.45,0.05,0.6305,0.2,0.55
0.5,0.5,0.5,0.4,0.1,0.6305,0.2,0.55
0.5,0.5,0.5,0.3,0.2,0.6305,0.2,0.55
0.5,0.5,0.5,0.35,0.15,0.6305,0.2,0.55
0.5,0.55,0.5,0.35,0.15,0.6305,0.2,0.55
0.5,0.55,0.5,0.3,0.2,0.6305,0.2,0.55
0.5,0.5,0.7,0.25,0.05,0.6305,0.2,0.55
0.5,0.5,0.8,0.15,0.05,0.6305,0.2,0.55
0.5,0.5,0.75,0.2,0.05,0.6305,0.2,0.55
0.5,0.5,0.75,0.15,0.1,0.6305,0.2,0.55
0.5,0.5,0.65,0.3,0.05,0.6305,0.2,0.55
0.5,0.5,0.7,0.2,0.1,0.6305,0.2,0.55
0.5,0.5,0.65,0.25,0.1,0.6305,0.2,0.55
0.5,0.5,0.65,0.2,0.15,0.6305,0.2,0.55
0.2,0.7,0.55,0.35,0.1,0.1773,-0.0053,0.55
0.35,0.7,0.75,0.15,0.1,0.4843,-0.0225,0.55
0.2,0.7,0.5,0.4,0.1,0.1773,-0.0004,0.55
0.2,0.7,0.5,0.45,0.05,0.1773,0.0138,0.55
0.2,0.7,0.75,0.15,0.1,0.1773,-0.0158,0.55
0.3,0.7,0.6,0.35,0.05,0.3941,-0.0152,0.55
0.45,0.65,0.65,0.3,0.05,0.6819,0.1334,0.55
0.45,0.65,0.7,0.25,0.05,0.6819,0.0987,0.55
0.45,0.65,0.6,0.35,0.05,0.6819,0.1334,0.55
0.45,0.65,0.55,0.4,0.05,0.6819,0.1334,0.55
0.3,0.7,0.75,0.15,0.1,0.3941,-0.0397,0.55
0.45,0.65,0.5,0.4,0.1,0.6819,0.1283,0.55
0.3,0.7,0.7,0.2,0.1,0.3941,-0.0231,0.55
0.2,0.7,0.55,0.4,0.05,0.1773,0.0167,0.55
0.2,0.7,0.65,0.3,0.05,0.1773,-0.0079,0.55
0.35,0.7,0.6,0.35,0.05,0.4843,-0.0033,0.55
0.4,0.7,0.75,0.15,0.1,0.5922,0.0205,0.55
0.5,0.55,0.7,0.25,0.05,0.6305,0.2,0.55
0.5,0.55,0.75,0.15,0.1,0.6305,0.2,0.55
0.5,0.55,0.75,0.2,0.05,0.6305,0.2,0.55
0.5,0.55,0.65,0.2,0.15,0.6305,0.2,0.55
0.5,0.55,0.65,0.25,0.1,0.6305,0.2,0.55
0.5,0.55,0.65,0.3,0.05,0.6305,0.2,0.55
0.5,0.55,0.7,0.2,0.1,0.6305,0.2,0.55
0.5,0.55,0.6,0.35,0.05,0.6305,0.2,0.55
0.5,0.55,0.6,0.3,0.1,0.6305,0.2,0.55
0.5,0.55,0.6,0.25,0.15,0.6305,0.2,0.55
0.5,0.55,0.55,0.35,0.1,0.6305,0.2,0.55
0.35,0.7,0.7,0.2,0.1,0.4843,-0.0264,0.55
0.5,0.55,0.5,0.4,0.1,0.6305,0.2,0.55
0.5,0.55,0.55,0.25,0.2,0.6305,0.2,0.55
0.5,0.55,0.55,0.3,0.15,0.6305,0.2,0.55
0.5,0.6,0.65,0.2,0.15,0.6305,0.2,0.55
0.5,0.6,0.6,0.25,0.15,0.6305,0.2,0.55
0.5,0.6,0.55,0.3,0.15,0.6305,0.2,0.55
0.5,0.6,0.55,0.25,0.2,0.6305,0.2,0.55
0.5,0.55,0.8,0.15,0.05,0.6305,0.2,0.55
0.5,0.6,0.5,0.3,0.2,0.6305,0.2,0.55
0.5,0.6,0.75,0.15,0.1,0.6305,0.2,0.55
0.25,0.7,0.55,0.35,0.1,0.2716,-0.0469,0.55
0.25,0.7,0.75,0.15,0.1,0.2716,-0.058,0.55
0.25,0.7,0.7,0.2,0.1,0.2716,-0.0466,0.55
0.25,0.7,0.7,0.25,0.05,0.2716,-0.0557,0.55
0.5,0.5,0.55,0.3,0.15,0.6305,0.2,0.55
0.5,0.5,0.55,0.35,0.1,0.6305,0.2,0.55
0.5,0.5,0.55,0.4,0.05,0.6305,0.2,0.55
0.5,0.5,0.6,0.25,0.15,0.6305,0.2,0.55
0.5,0.5,0.6,0.3,0.1,0.6305,0.2,0.55
0.25,0.7,0.5,0.45,0.05,0.2716,-0.0137,0.5
0.25,0.7,0.55,0.4,0.05,0.2716,-0.0101,0.5
0.25,0.7,0.65,0.3,0.05,0.2716,-0.0321,0.5
0.25,0.7,0.5,0.4,0.1,0.2716,-0.02,0.5
0.5,0.6,0.75,0.2,0.05,0.6305,0.1962,0.5
0.5,0.6,0.8,0.15,0.05,0.6305,0.1962,0.5
0.5,0.6,0.7,0.25,0.05,0.6305,0.1962,0.5
0.5,0.6,0.55,0.35,0.1,0.6305,0.1962,0.5
0.25,0.7,0.75,0.2,0.05,0.2716,-0.0506,0.5
0.5,0.6,0.65,0.25,0.1,0.6305,0.1962,0.5
0.5,0.6,0.7,0.2,0.1,0.6305,0.1962,0.5
0.5,0.6,0.65,0.3,0.05,0.6305,0.1962,0.5
0.5,0.6,0.55,0.4,0.05,0.6305,0.1962,0.5
0.5,0.6,0.6,0.3,0.1,0.6305,0.1962,0.5
0.5,0.6,0.6,0.35,0.05,0.6305,0.1962,0.5
0.45,0.7,0.5,0.3,0.2,0.6819,0.1312,0.5
0.5,0.6,0.5,0.35,0.15,0.6305,0.1962,0.5
0.5,0.6,0.5,0.4,0.1,0.6305,0.1962,0.5
0.5,0.6,0.5,0.45,0.05,0.6305,0.1962,0.5
0.35,0.7,0.5,0.4,0.1,0.4843,0.0052,0.5
0.5,0.55,0.5,0.45,0.05,0.6305,0.1962,0.5
0.5,0.55,0.55,0.4,0.05,0.6305,0.1962,0.5
0.35,0.7,0.75,0.2,0.05,0.4843,-0.0193,0.5
0.35,0.7,0.7,0.25,0.05,0.4843,-0.0249,0.5
0.2,0.7,0.75,0.2,0.05,0.1773,-0.0112,0.5
0.3,0.7,0.5,0.4,0.1,0.3941,0.0104,0.5
0.45,0.65,0.5,0.45,0.05,0.6819,0.1253,0.5
0.35,0.7,0.65,0.3,0.05,0.4843,-0.0006,0.5
0.4,0.7,0.6,0.3,0.1,0.5922,0.0555,0.5
0.4,0.7,0.65,0.25,0.1,0.5922,0.0237,0.5
0.4,0.7,0.7,0.2,0.1,0.5922,0.031,0.5
0.45,0.7,0.55,0.3,0.15,0.6819,0.076,0.5
0.45,0.7,0.55,0.25,0.2,0.6819,0.1242,0.5
0.3,0.7,0.75,0.2,0.05,0.3941,-0.0259,0.5
0.3,0.7,0.7,0.25,0.05,0.3941,-0.0345,0.5
0.3,0.7,0.65,0.3,0.05,0.3941,-0.0209,0.5
0.3,0.7,0.55,0.35,0.1,0.3941,0.0143,0.5
0.5,0.65,0.55,0.35,0.1,0.6305,0.1937,0.45
0.5,0.65,0.65,0.2,0.15,0.6305,0.1926,0.45
0.5,0.65,0.55,0.4,0.05,0.6305,0.1473,0.45
0.5,0.65,0.6,0.25,0.15,0.6305,0.1926,0.45
0.5,0.65,0.75,0.15,0.1,0.6305,0.1926,0.45
0.5,0.65,0.6,0.3,0.1,0.6305,0.1926,0.45
0.5,0.65,0.8,0.15,0.05,0.6305,0.1926,0.45
0.35,0.7,0.55,0.4,0.05,0.4843,0.0261,0.45
0.35,0.7,0.55,0.35,0.1,0.4843,0.0101,0.45
0.35,0.7,0.5,0.45,0.05,0.4843,0.0192,0.45
0.2,0.7,0.8,0.15,0.05,0.1773,-0.0041,0.45
0.3,0.7,0.5,0.45,0.05,0.3941,0.0049,0.45
0.45,0.7,0.6,0.25,0.15,0.6819,0.0758,0.45
0.5,0.65,0.55,0.3,0.15,0.6305,0.1926,0.45
0.5,0.65,0.55,0.25,0.2,0.6305,0.1926,0.45
0.5,0.65,0.5,0.3,0.2,0.6305,0.1926,0.45
0.5,0.65,0.5,0.35,0.15,0.6305,0.1926,0.45
0.5,0.65,0.5,0.4,0.1,0.6305,0.1473,0.45
0.45,0.7,0.5,0.35,0.15,0.6819,0.1179,0.45
0.5,0.65,0.5,0.45,0.05,0.6305,0.1473,0.45
0.5,0.65,0.65,0.25,0.1,0.6305,0.1926,0.45
0.3,0.7,0.55,0.4,0.05,0.3941,0.0091,0.45
0.5,0.65,0.7,0.2,0.1,0.6305,0.1926,0.45
0.4,0.7,0.55,0.35,0.1,0.5922,0.0836,0.4
0.45,0.7,0.65,0.2,0.15,0.6819,0.0326,0.4
0.45,0.7,0.6,0.3,0.1,0.6819,0.0621,0.4
0.45,0.7,0.65,0.25,0.1,0.6819,0.055,0.4
0.3,0.7,0.8,0.15,0.05,0.3941,-0.0357,0.4
0.45,0.7,0.7,0.2,0.1,0.6819,0.0549,0.4
0.25,0.7,0.8,0.15,0.05,0.2716,-0.0427,0.4
0.4,0.7,0.5,0.4,0.1,0.5922,0.0846,0.4
0.5,0.65,0.6,0.35,0.05,0.6305,0.1437,0.4
0.5,0.7,0.65,0.2,0.15,0.6305,0.1451,0.4
0.5,0.7,0.6,0.25,0.15,0.6305,0.141,0.4
0.5,0.7,0.5,0.3,0.2,0.6305,0.1455,0.4
0.5,0.65,0.65,0.3,0.05,0.6305,0.1437,0.4
0.5,0.7,0.55,0.25,0.2,0.6305,0.1455,0.4
0.5,0.65,0.7,0.25,0.05,0.6305,0.1437,0.4
0.5,0.65,0.75,0.2,0.05,0.6305,0.1426,0.4
0.5,0.7,0.55,0.3,0.15,0.6305,0.141,0.4
0.4,0.7,0.75,0.2,0.05,0.5922,0.0283,0.35
0.4,0.7,0.6,0.35,0.05,0.5922,0.0774,0.35
0.35,0.7,0.8,0.15,0.05,0.4843,-0.0315,0.35
0.5,0.7,0.7,0.2,0.1,0.6305,0.146,0.35
0.4,0.7,0.5,0.45,0.05,0.5922,0.1241,0.35
0.5,0.7,0.75,0.15,0.1,0.6305,0.146,0.35
0.45,0.7,0.75,0.15,0.1,0.6819,0.0346,0.35
0.4,0.7,0.55,0.4,0.05,0.5922,0.13,0.35
0.4,0.7,0.65,0.3,0.05,0.5922,0.0746,0.35
0.4,0.7,0.7,0.25,0.05,0.5922,0.0323,0.35
0.4,0.7,0.8,0.15,0.05,0.5922,0.0233,0.35
0.5,0.7,0.6,0.3,0.1,0.6305,0.1378,0.35
0.5,0.7,0.5,0.35,0.15,0.6305,0.1354,0.35
0.5,0.7,0.65,0.25,0.1,0.6305,0.1463,0.35
0.5,0.7,0.5,0.45,0.05,0.6305,0.151,0.3
0.5,0.7,0.55,0.4,0.05,0.6305,0.154,0.3
0.5,0.7,0.55,0.35,0.1,0.6305,0.1443,0.3
0.5,0.7,0.5,0.4,0.1,0.6305,0.143,0.3
0.45,0.7,0.6,0.35,0.05,0.6819,0.0672,0.3
0.45,0.7,0.65,0.3,0.05,0.6819,0.0538,0.3
0.4,0.75,0.5,0.3,0.2,0.5922,0.1308,0.3
0.3,0.75,0.5,0.3,0.2,0.3941,0.0031,0.3
0.25,0.75,0.5,0.3,0.2,0.2716,-0.0079,0.3
0.25,0.75,0.55,0.25,0.2,0.2716,-0.0158,0.3
0.45,0.7,0.8,0.15,0.05,0.6819,0.0213,0.3
0.45,0.7,0.75,0.2,0.05,0.6819,0.0599,0.3
0.45,0.7,0.7,0.25,0.05,0.6819,0.0574,0.3
0.35,0.75,0.55,0.25,0.2,0.4843,0.0136,0.3
0.2,0.75,0.5,0.3,0.2,0.1773,0.0034,0.3
0.35,0.75,0.5,0.3,0.2,0.4843,0.025,0.3
0.2,0.75,0.55,0.25,0.2,0.1773,0.001,0.3
0.45,0.7,0.5,0.4,0.1,0.6819,0.0821,0.3
0.45,0.7,0.55,0.4,0.05,0.6819,0.1264,0.3
0.45,0.7,0.55,0.35,0.1,0.6819,0.0849,0.3
0.45,0.7,0.5,0.45,0.05,0.6819,0.1196,0.3
0.3,0.75,0.55,0.25,0.2,0.3941,-0.0097,0.3
0.4,0.75,0.55,0.25,0.2,0.5922,0.0889,0.3
0.3,0.75,0.65,0.2,0.15,0.3941,-0.0131,0.25
0.5,0.7,0.8,0.15,0.05,0.6305,0.1398,0.25
0.4,0.75,0.65,0.2,0.15,0.5922,0.0863,0.25
0.4,0.75,0.6,0.25,0.15,0.5922,0.1214,0.25
0.35,0.75,0.6,0.25,0.15,0.4843,0.014,0.25
0.4,0.75,0.7,0.2,0.1,0.5922,0.1072,0.25
0.3,0.75,0.55,0.3,0.15,0.3941,0.0094,0.25
0.45,0.75,0.55,0.25,0.2,0.6819,0.0505,0.25
0.25,0.75,0.6,0.25,0.15,0.2716,-0.0064,0.25
0.45,0.75,0.5,0.3,0.2,0.6819,0.1048,0.25
0.25,0.75,0.7,0.2,0.1,0.2716,-0.001,0.25
0.25,0.75,0.75,0.15,0.1,0.2716,-0.0211,0.25
0.5,0.7,0.75,0.2,0.05,0.6305,0.1486,0.25
0.25,0.75,0.65,0.2,0.15,0.2716,-0.0175,0.25
0.5,0.7,0.7,0.25,0.05,0.6305,0.1486,0.25
0.5,0.7,0.65,0.3,0.05,0.6305,0.1437,0.25
0.25,0.75,0.55,0.3,0.15,0.2716,-0.0039,0.25
0.3,0.75,0.75,0.15,0.1,0.3941,-0.0147,0.25
0.5,0.75,0.55,0.25,0.2,0.6305,0.136,0.25
0.5,0.75,0.5,0.3,0.2,0.6305,0.1369,0.25
0.5,0.7,0.6,0.35,0.05,0.6305,0.1489,0.25
0.3,0.75,0.7,0.2,0.1,0.3941,0.0074,0.25
0.35,0.75,0.75,0.15,0.1,0.4843,-0.0167,0.25
0.3,0.75,0.6,0.25,0.15,0.3941,0.0047,0.25
0.4,0.75,0.55,0.3,0.15,0.5922,0.1264,0.25
0.4,0.75,0.75,0.15,0.1,0.5922,0.0922,0.25
0.2,0.75,0.6,0.25,0.15,0.1773,0.0042,0.25
0.2,0.75,0.7,0.2,0.1,0.1773,0.0085,0.25
0.2,0.75,0.65,0.2,0.15,0.1773,0.0026,0.25
0.35,0.75,0.65,0.2,0.15,0.4843,0.0075,0.25
0.35,0.75,0.7,0.2,0.1,0.4843,0.004,0.25
0.2,0.75,0.75,0.15,0.1,0.1773,0.0018,0.25
0.35,0.75,0.55,0.3,0.15,0.4843,0.0208,0.25
0.2,0.75,0.55,0.3,0.15,0.1773,0.0041,0.25
0.45,0.75,0.7,0.2,0.1,0.6819,0.0867,0.2
0.45,0.75,0.65,0.2,0.15,0.6819,0.0481,0.2
0.5,0.75,0.65,0.2,0.15,0.6305,0.121,0.2
0.45,0.75,0.75,0.15,0.1,0.6819,0.0993,0.2
0.5,0.75,0.6,0.25,0.15,0.6305,0.123,0.2
0.45,0.75,0.6,0.25,0.15,0.6819,0.0976,0.2
0.2,0.75,0.75,0.2,0.05,0.1773,0.0076,0.2
0.2,0.75,0.8,0.15,0.05,0.1773,0.008,0.2
0.5,0.75,0.7,0.2,0.1,0.6305,0.111,0.2
0.5,0.75,0.75,0.15,0.1,0.6305,0.1146,0.2
0.25,0.75,0.5,0.35,0.15,0.2716,-0.0031,0.2
0.25,0.75,0.5,0.4,0.1,0.2716,-0.0014,0.2
0.25,0.75,0.6,0.35,0.05,0.2716,0.0034,0.2
0.25,0.75,0.6,0.3,0.1,0.2716,0.0038,0.2
0.25,0.75,0.65,0.25,0.1,0.2716,0.0038,0.2
0.45,0.75,0.55,0.3,0.15,0.6819,0.0986,0.2
0.3,0.75,0.8,0.15,0.05,0.3941,0.0071,0.2
0.3,0.75,0.75,0.2,0.05,0.3941,0.0154,0.2
0.25,0.75,0.75,0.2,0.05,0.2716,0.0003,0.2
0.25,0.75,0.8,0.15,0.05,0.2716,-0.0032,0.2
0.25,0.75,0.7,0.25,0.05,0.2716,0.0019,0.2
0.4,0.75,0.7,0.25,0.05,0.5922,0.1112,0.2
0.3,0.75,0.5,0.35,0.15,0.3941,0.0069,0.2
0.3,0.75,0.5,0.4,0.1,0.3941,0.0221,0.2
0.4,0.75,0.75,0.2,0.05,0.5922,0.1143,0.2
0.4,0.75,0.5,0.35,0.15,0.5922,0.1315,0.2
0.3,0.75,0.6,0.3,0.1,0.3941,0.0202,0.2
0.4,0.75,0.8,0.15,0.05,0.5922,0.1055,0.2
0.4,0.75,0.6,0.3,0.1,0.5922,0.1319,0.2
0.4,0.75,0.65,0.25,0.1,0.5922,0.1319,0.2
0.35,0.75,0.6,0.35,0.05,0.4843,0.072,0.2
0.35,0.75,0.6,0.3,0.1,0.4843,0.0182,0.2
0.2,0.75,0.6,0.3,0.1,0.1773,0.0086,0.2
0.35,0.75,0.8,0.15,0.05,0.4843,0.0017,0.2
0.35,0.75,0.75,0.2,0.05,0.4843,0.0074,0.2
0.35,0.75,0.5,0.4,0.1,0.4843,0.0611,0.2
0.35,0.75,0.7,0.25,0.05,0.4843,0.0119,0.2
0.2,0.75,0.65,0.25,0.1,0.1773,0.0086,0.2
0.2,0.75,0.5,0.4,0.1,0.1773,0.0057,0.2
0.2,0.75,0.5,0.35,0.15,0.1773,0.0042,0.2
0.2,0.75,0.6,0.35,0.05,0.1773,0.0082,0.2
0.35,0.75,0.5,0.35,0.15,0.4843,0.007,0.2
0.2,0.75,0.7,0.25,0.05,0.1773,0.0083,0.2
0.35,0.75,0.65,0.25,0.1,0.4843,0.0182,0.2
0.3,0.75,0.7,0.25,0.05,0.3941,0.0189,0.2
0.3,0.75,0.65,0.25,0.1,0.3941,0.0202,0.2
0.3,0.75,0.6,0.35,0.05,0.3941,0.029,0.2
0.5,0.75,0.55,0.3,0.15,0.6305,0.1255,0.2
0.2,0.75,0.55,0.35,0.1,0.1773,0.0098,0.15
0.35,0.75,0.5,0.45,0.05,0.4843,0.0683,0.15
0.35,0.75,0.65,0.3,0.05,0.4843,0.0566,0.15
0.2,0.75,0.65,0.3,0.05,0.1773,0.0085,0.15
0.2,0.75,0.5,0.45,0.05,0.1773,0.0092,0.15
0.2,0.75,0.55,0.4,0.05,0.1773,0.0085,0.15
0.5,0.75,0.6,0.3,0.1,0.6305,0.1109,0.15
0.3,0.75,0.65,0.3,0.05,0.3941,0.025,0.15
0.5,0.75,0.5,0.35,0.15,0.6305,0.122,0.15
0.25,0.75,0.65,0.3,0.05,0.2716,0.0029,0.15
0.25,0.75,0.55,0.4,0.05,0.2716,0.004,0.15
0.25,0.75,0.55,0.35,0.1,0.2716,0.0051,0.15
0.45,0.75,0.6,0.3,0.1,0.6819,0.0909,0.15
0.4,0.75,0.5,0.4,0.1,0.5922,0.1214,0.15
0.3,0.75,0.55,0.4,0.05,0.3941,0.0232,0.15
0.45,0.75,0.5,0.35,0.15,0.6819,0.0983,0.15
0.4,0.75,0.5,0.45,0.05,0.5922,0.1163,0.15
0.4,0.75,0.65,0.3,0.05,0.5922,0.1031,0.15
0.4,0.75,0.6,0.35,0.05,0.5922,0.1102,0.15
0.4,0.75,0.55,0.4,0.05,0.5922,0.1133,0.15
0.4,0.75,0.55,0.35,0.1,0.5922,0.122,0.15
0.35,0.75,0.55,0.4,0.05,0.4843,0.0679,0.15
0.35,0.75,0.55,0.35,0.1,0.4843,0.0583,0.15
0.3,0.75,0.5,0.45,0.05,0.3941,0.0262,0.15
0.3,0.75,0.55,0.35,0.1,0.3941,0.0224,0.15
0.5,0.75,0.75,0.2,0.05,0.6305,0.1095,0.15
0.5,0.75,0.7,0.25,0.05,0.6305,0.1189,0.15
0.5,0.75,0.65,0.25,0.1,0.6305,0.1109,0.15
0.5,0.75,0.8,0.15,0.05,0.6305,0.1117,0.15
0.45,0.75,0.75,0.2,0.05,0.6819,0.0922,0.15
0.45,0.75,0.7,0.25,0.05,0.6819,0.1013,0.15
0.45,0.75,0.65,0.25,0.1,0.6819,0.0909,0.15
0.45,0.75,0.8,0.15,0.05,0.6819,0.0885,0.15
0.25,0.75,0.5,0.45,0.05,0.2716,0.0066,0.15
0.5,0.8,0.5,0.4,0.1,0.6305,0.0772,0.1
0.5,0.8,0.5,0.45,0.05,0.6305,0.1016,0.1
0.5,0.8,0.55,0.25,0.2,0.6305,0.0662,0.1
0.5,0.8,0.55,0.3,0.15,0.6305,0.0709,0.1
0.5,0.8,0.55,0.35,0.1,0.6305,0.1016,0.1
0.5,0.8,0.55,0.4,0.05,0.6305,0.1016,0.1
0.5,0.75,0.5,0.45,0.05,0.6305,0.0731,0.1
0.5,0.8,0.8,0.15,0.05,0.6305,0.1096,0.1
0.25,0.8,0.65,0.2,0.15,0.2716,-0.0002,0.1
0.45,0.8,0.6,0.25,0.15,0.6819,0.1072,0.1
0.5,0.75,0.5,0.4,0.1,0.6305,0.0714,0.1
0.5,0.8,0.6,0.25,0.15,0.6305,0.073,0.1
0.45,0.8,0.65,0.2,0.15,0.6819,0.0909,0.1
0.5,0.75,0.6,0.35,0.05,0.6305,0.0683,0.1
0.5,0.8,0.5,0.3,0.2,0.6305,0.0662,0.1
0.5,0.8,0.5,0.35,0.15,0.6305,0.0709,0.1
0.4,0.8,0.65,0.2,0.15,0.5922,0.0694,0.1
0.35,0.8,0.55,0.25,0.2,0.4843,0.0148,0.1
0.35,0.8,0.6,0.25,0.15,0.4843,0.0028,0.1
0.4,0.8,0.6,0.25,0.15,0.5922,0.0552,0.1
0.35,0.8,0.65,0.2,0.15,0.4843,0.013,0.1
0.35,0.8,0.5,0.3,0.2,0.4843,0.0146,0.1
0.4,0.8,0.5,0.3,0.2,0.5922,0.0596,0.1
0.45,0.75,0.5,0.4,0.1,0.6819,0.0984,0.1
0.45,0.75,0.5,0.45,0.05,0.6819,0.0961,0.1
0.45,0.75,0.55,0.35,0.1,0.6819,0.0946,0.1
0.45,0.75,0.55,0.4,0.05,0.6819,0.0963,0.1
0.2,0.8,0.5,0.3,0.2,0.1773,0.0063,0.1
0.45,0.75,0.6,0.35,0.05,0.6819,0.0808,0.1
0.2,0.8,0.65,0.2,0.15,0.1773,0.0067,0.1
0.2,0.8,0.55,0.25,0.2,0.1773,0.0064,0.1
