Theta_T,Theta_S,Alpha,Beta,Gamma,Avg_TR_F1,Avg_Cluster_ARI_All,Avg_Cluster_ARI_GT_Only
0.3,0.6,0.55,0.25,0.2,0.3941,-0.0134,0.95
0.3,0.5,0.5,0.4,0.1,0.3941,-0.002,0.95
0.3,0.55,0.75,0.15,0.1,0.3941,-0.002,0.95
0.3,0.55,0.75,0.2,0.05,0.3941,-0.002,0.95
0.3,0.55,0.8,0.15,0.05,0.3941,0.0,0.95
0.3,0.5,0.55,0.35,0.1,0.3941,0.0,0.95
0.3,0.55,0.5,0.35,0.15,0.3941,-0.0039,0.95
0.3,0.55,0.5,0.4,0.1,0.3941,-0.0076,0.95
0.3,0.5,0.5,0.3,0.2,0.3941,-0.002,0.95
0.3,0.5,0.5,0.35,0.15,0.3941,-0.002,0.95
0.3,0.55,0.5,0.3,0.2,0.3941,-0.0039,0.95
0.3,0.5,0.6,0.3,0.1,0.3941,0.0,0.95
0.3,0.5,0.6,0.25,0.15,0.3941,0.0,0.95
0.3,0.5,0.55,0.4,0.05,0.3941,0.0,0.95
0.3,0.5,0.65,0.25,0.1,0.3941,0.0,0.95
0.3,0.5,0.7,0.25,0.05,0.3941,0.0,0.95
0.3,0.5,0.8,0.15,0.05,0.3941,0.0,0.95
0.3,0.5,0.65,0.2,0.15,0.3941,0.0,0.95
0.3,0.5,0.75,0.15,0.1,0.3941,0.0,0.95
0.3,0.55,0.6,0.25,0.15,0.3941,-0.0039,0.95
0.3,0.55,0.6,0.35,0.05,0.3941,-0.0057,0.95
0.3,0.55,0.6,0.3,0.1,0.3941,-0.0076,0.95
0.3,0.55,0.55,0.35,0.1,0.3941,-0.0076,0.95
0.3,0.55,0.55,0.25,0.2,0.3941,-0.0039,0.95
0.3,0.55,0.55,0.3,0.15,0.3941,-0.0039,0.95
0.3,0.55,0.65,0.2,0.15,0.3941,-0.0039,0.95
0.3,0.5,0.6,0.35,0.05,0.3941,0.0,0.95
0.3,0.5,0.65,0.3,0.05,0.3941,0.0,0.95
0.3,0.5,0.7,0.2,0.1,0.3941,0.0,0.95
0.3,0.5,0.75,0.2,0.05,0.3941,0.0,0.95
0.3,0.5,0.55,0.3,0.15,0.3941,-0.002,0.95
0.3,0.5,0.55,0.25,0.2,0.3941,-0.002,0.95
0.3,0.5,0.5,0.45,0.05,0.3941,0.0,0.95
0.3,0.55,0.7,0.2,0.1,0.3941,-0.002,0.95
0.3,0.55,0.65,0.25,0.1,0.3941,-0.0039,0.95
0.3,0.55,0.7,0.25,0.05,0.3941,-0.002,0.95
0.3,0.55,0.65,0.3,0.05,0.3941,-0.0057,0.95
0.35,0.5,0.6,0.3,0.1,0.4843,0.0,0.9
0.35,0.55,0.5,0.35,0.15,0.4843,0.0,0.9
0.2,0.6,0.5,0.35,0.15,0.1773,0.0113,0.9
0.35,0.5,0.5,0.35,0.15,0.4843,0.0,0.9
0.35,0.5,0.7,0.2,0.1,0.4843,0.0,0.9
0.35,0.5,0.65,0.25,0.1,0.4843,0.0,0.9
0.35,0.5,0.65,0.2,0.15,0.4843,0.0,0.9
0.35,0.5,0.6,0.35,0.05,0.4843,0.0,0.9
0.35,0.5,0.65,0.3,0.05,0.4843,0.0,0.9
0.35,0.5,0.6,0.25,0.15,0.4843,0.0,0.9
0.35,0.5,0.55,0.3,0.15,0.4843,0.0,0.9
0.35,0.55,0.8,0.15,0.05,0.4843,0.0,0.9
0.35,0.55,0.75,0.2,0.05,0.4843,0.0,0.9
0.35,0.6,0.55,0.25,0.2,0.4843,0.0,0.9
0.35,0.6,0.6,0.25,0.15,0.4843,0.0,0.9
0.35,0.55,0.65,0.3,0.05,0.4843,0.0,0.9
0.35,0.55,0.7,0.25,0.05,0.4843,0.0,0.9
0.35,0.55,0.65,0.2,0.15,0.4843,0.0,0.9
0.3,0.6,0.55,0.3,0.15,0.3941,-0.009,0.9
0.35,0.55,0.65,0.25,0.1,0.4843,0.0,0.9
0.35,0.5,0.5,0.4,0.1,0.4843,0.0,0.9
0.35,0.5,0.5,0.3,0.2,0.4843,0.0,0.9
0.35,0.5,0.75,0.2,0.05,0.4843,0.0,0.9
0.35,0.5,0.7,0.25,0.05,0.4843,0.0,0.9
0.35,0.5,0.75,0.15,0.1,0.4843,0.0,0.9
0.2,0.6,0.5,0.45,0.05,0.1773,0.0189,0.9
0.2,0.6,0.55,0.35,0.1,0.1773,0.0116,0.9
0.2,0.6,0.6,0.3,0.1,0.1773,0.0139,0.9
0.2,0.65,0.65,0.2,0.15,0.1773,-0.0178,0.9
0.2,0.65,0.55,0.35,0.1,0.1773,-0.0007,0.9
0.2,0.65,0.6,0.3,0.1,0.1773,-0.003,0.9
0.2,0.65,0.55,0.25,0.2,0.1773,-0.0213,0.9
0.2,0.6,0.5,0.4,0.1,0.1773,0.0096,0.9
0.35,0.5,0.55,0.4,0.05,0.4843,0.0,0.9
0.35,0.5,0.55,0.35,0.1,0.4843,0.0,0.9
0.2,0.6,0.55,0.4,0.05,0.1773,0.0138,0.9
0.2,0.65,0.55,0.3,0.15,0.1773,-0.0094,0.9
0.2,0.65,0.5,0.35,0.15,0.1773,0.0114,0.9
0.2,0.65,0.65,0.25,0.1,0.1773,-0.0,0.9
0.2,0.6,0.7,0.25,0.05,0.1773,0.0153,0.9
0.2,0.6,0.75,0.2,0.05,0.1773,0.0159,0.9
0.25,0.65,0.55,0.25,0.2,0.2716,0.0092,0.9
0.2,0.65,0.5,0.3,0.2,0.1773,-0.0114,0.9
0.2,0.6,0.8,0.15,0.05,0.1773,0.0234,0.9
0.25,0.65,0.65,0.2,0.15,0.2716,-0.0001,0.9
0.25,0.65,0.6,0.3,0.1,0.2716,0.0162,0.9
0.25,0.65,0.6,0.25,0.15,0.2716,0.0022,0.9
0.25,0.65,0.55,0.35,0.1,0.2716,0.0171,0.9
0.35,0.55,0.75,0.15,0.1,0.4843,0.0,0.9
0.35,0.55,0.7,0.2,0.1,0.4843,0.0,0.9
0.35,0.6,0.65,0.2,0.15,0.4843,0.0,0.9
0.35,0.6,0.5,0.3,0.2,0.4843,0.0,0.9
0.25,0.6,0.75,0.2,0.05,0.2716,0.0589,0.9
0.25,0.6,0.5,0.35,0.15,0.2716,0.0452,0.9
0.25,0.6,0.5,0.4,0.1,0.2716,0.054,0.9
0.35,0.6,0.75,0.15,0.1,0.4843,0.0,0.9
0.25,0.6,0.5,0.45,0.05,0.2716,0.0584,0.9
0.35,0.55,0.5,0.3,0.2,0.4843,0.0,0.9
0.35,0.5,0.8,0.15,0.05,0.4843,0.0,0.9
0.35,0.5,0.55,0.25,0.2,0.4843,0.0,0.9
0.35,0.5,0.5,0.45,0.05,0.4843,0.0,0.9
0.25,0.6,0.7,0.25,0.05,0.2716,0.0589,0.9
0.25,0.6,0.7,0.2,0.1,0.2716,0.0362,0.9
0.25,0.6,0.65,0.3,0.05,0.2716,0.0589,0.9
0.25,0.65,0.55,0.3,0.15,0.2716,0.0192,0.9
0.25,0.65,0.65,0.25,0.1,0.2716,0.0163,0.9
0.25,0.6,0.6,0.3,0.1,0.2716,0.0552,0.9
0.25,0.6,0.55,0.4,0.05,0.2716,0.0548,0.9
0.25,0.6,0.8,0.15,0.05,0.2716,0.0464,0.9
0.2,0.65,0.75,0.15,0.1,0.1773,-0.0213,0.9
0.25,0.65,0.5,0.3,0.2,0.2716,0.0089,0.9
0.25,0.65,0.5,0.35,0.15,0.2716,0.0423,0.9
0.2,0.65,0.7,0.2,0.1,0.1773,-0.0207,0.9
0.25,0.6,0.65,0.25,0.1,0.2716,0.0488,0.9
0.35,0.55,0.6,0.35,0.05,0.4843,0.0,0.9
0.25,0.65,0.7,0.2,0.1,0.2716,0.0036,0.9
0.25,0.65,0.75,0.15,0.1,0.2716,-0.0003,0.9
0.25,0.6,0.55,0.35,0.1,0.2716,0.0552,0.9
0.2,0.6,0.6,0.35,0.05,0.1773,0.0153,0.9
0.2,0.6,0.65,0.25,0.1,0.1773,0.0159,0.9
0.2,0.6,0.65,0.3,0.05,0.1773,0.0153,0.9
0.35,0.55,0.55,0.25,0.2,0.4843,0.0,0.9
0.2,0.6,0.7,0.2,0.1,0.1773,0.0147,0.9
0.2,0.65,0.6,0.25,0.15,0.1773,-0.0187,0.9
0.35,0.55,0.5,0.4,0.1,0.4843,0.0,0.9
0.35,0.55,0.55,0.35,0.1,0.4843,0.0,0.9
0.35,0.55,0.55,0.3,0.15,0.4843,0.0,0.9
0.35,0.55,0.6,0.25,0.15,0.4843,0.0,0.9
0.35,0.55,0.6,0.3,0.1,0.4843,0.0,0.9
0.25,0.6,0.6,0.35,0.05,0.2716,0.0606,0.9
0.3,0.65,0.7,0.2,0.1,0.3941,-0.0297,0.85
0.35,0.6,0.55,0.3,0.15,0.4843,-0.0125,0.85
0.3,0.65,0.75,0.15,0.1,0.3941,-0.0316,0.85
0.3,0.6,0.5,0.45,0.05,0.3941,-0.0087,0.85
0.3,0.6,0.6,0.3,0.1,0.3941,-0.0014,0.85
0.3,0.6,0.55,0.4,0.05,0.3941,-0.0087,0.85
0.3,0.6,0.55,0.35,0.1,0.3941,-0.0014,0.85
0.3,0.6,0.6,0.35,0.05,0.3941,-0.0087,0.85
0.3,0.65,0.55,0.35,0.1,0.3941,-0.0169,0.85
0.3,0.65,0.6,0.3,0.1,0.3941,-0.0243,0.85
0.3,0.65,0.6,0.25,0.15,0.3941,-0.035,0.85
0.3,0.65,0.65,0.2,0.15,0.3941,-0.0381,0.85
0.3,0.65,0.65,0.25,0.1,0.3941,-0.0243,0.85
0.3,0.6,0.5,0.35,0.15,0.3941,-0.0014,0.85
0.3,0.6,0.5,0.4,0.1,0.3941,-0.0027,0.85
0.3,0.65,0.55,0.3,0.15,0.3941,-0.0419,0.85
0.3,0.65,0.5,0.35,0.15,0.3941,-0.0224,0.85
0.3,0.6,0.75,0.2,0.05,0.3941,0.0024,0.85
0.3,0.65,0.8,0.15,0.05,0.3941,-0.0317,0.85
0.3,0.65,0.5,0.3,0.2,0.3941,-0.0302,0.85
0.3,0.6,0.8,0.15,0.05,0.3941,-0.0092,0.85
0.3,0.65,0.55,0.25,0.2,0.3941,-0.0336,0.85
0.3,0.6,0.65,0.25,0.1,0.3941,-0.0014,0.85
0.2,0.65,0.8,0.15,0.05,0.1773,-0.0148,0.85
0.25,0.65,0.8,0.15,0.05,0.2716,-0.0514,0.85
0.25,0.65,0.5,0.4,0.1,0.2716,0.0187,0.85
0.4,0.55,0.7,0.2,0.1,0.5922,0.1,0.85
0.4,0.55,0.7,0.25,0.05,0.5922,0.1,0.85
0.4,0.55,0.8,0.15,0.05,0.5922,0.1,0.85
0.4,0.55,0.75,0.2,0.05,0.5922,0.1,0.85
0.25,0.65,0.5,0.45,0.05,0.2716,0.0077,0.85
0.3,0.55,0.5,0.45,0.05,0.3941,0.0099,0.85
0.3,0.6,0.7,0.25,0.05,0.3941,-0.0087,0.85
0.3,0.6,0.7,0.2,0.1,0.3941,-0.0044,0.85
0.3,0.6,0.65,0.3,0.05,0.3941,-0.0087,0.85
0.3,0.55,0.55,0.4,0.05,0.3941,0.0061,0.85
0.4,0.55,0.75,0.15,0.1,0.5922,0.1,0.85
0.4,0.55,0.6,0.3,0.1,0.5922,0.1,0.85
0.4,0.55,0.6,0.35,0.05,0.5922,0.1,0.85
0.4,0.55,0.65,0.2,0.15,0.5922,0.1,0.85
0.4,0.55,0.65,0.25,0.1,0.5922,0.1,0.85
0.4,0.55,0.65,0.3,0.05,0.5922,0.1,0.85
0.4,0.5,0.55,0.35,0.1,0.5922,0.1,0.85
0.4,0.5,0.55,0.4,0.05,0.5922,0.1,0.85
0.4,0.5,0.55,0.25,0.2,0.5922,0.1,0.85
0.4,0.5,0.5,0.4,0.1,0.5922,0.1,0.85
0.4,0.5,0.5,0.45,0.05,0.5922,0.1,0.85
0.4,0.5,0.65,0.25,0.1,0.5922,0.1,0.85
0.4,0.5,0.65,0.3,0.05,0.5922,0.1,0.85
0.4,0.5,0.65,0.2,0.15,0.5922,0.1,0.85
0.4,0.5,0.55,0.3,0.15,0.5922,0.1,0.85
0.4,0.5,0.6,0.3,0.1,0.5922,0.1,0.85
0.4,0.5,0.6,0.25,0.15,0.5922,0.1,0.85
0.4,0.5,0.6,0.35,0.05,0.5922,0.1,0.85
0.4,0.5,0.7,0.2,0.1,0.5922,0.1,0.85
0.4,0.5,0.8,0.15,0.05,0.5922,0.1,0.85
0.4,0.5,0.75,0.2,0.05,0.5922,0.1,0.85
0.4,0.5,0.75,0.15,0.1,0.5922,0.1,0.85
0.4,0.5,0.7,0.25,0.05,0.5922,0.1,0.85
0.4,0.5,0.5,0.3,0.2,0.5922,0.1,0.85
0.4,0.5,0.5,0.35,0.15,0.5922,0.1,0.85
0.2,0.65,0.5,0.45,0.05,0.1773,0.0022,0.85
0.2,0.65,0.5,0.4,0.1,0.1773,-0.0129,0.85
0.35,0.65,0.75,0.15,0.1,0.4843,-0.0131,0.8
0.35,0.65,0.8,0.15,0.05,0.4843,-0.0178,0.8
0.35,0.65,0.65,0.25,0.1,0.4843,0.008,0.8
0.35,0.65,0.6,0.25,0.15,0.4843,0.0187,0.8
0.35,0.65,0.65,0.2,0.15,0.4843,0.0216,0.8
0.35,0.65,0.6,0.3,0.1,0.4843,0.008,0.8
0.35,0.65,0.7,0.2,0.1,0.4843,-0.0131,0.8
0.25,0.65,0.65,0.3,0.05,0.2716,-0.039,0.8
0.4,0.55,0.5,0.3,0.2,0.5922,0.05,0.8
0.4,0.6,0.55,0.25,0.2,0.5922,0.0459,0.8
0.4,0.55,0.6,0.25,0.15,0.5922,0.05,0.8
0.4,0.55,0.5,0.35,0.15,0.5922,0.05,0.8
0.4,0.55,0.55,0.25,0.2,0.5922,0.05,0.8
0.4,0.55,0.5,0.4,0.1,0.5922,0.05,0.8
0.4,0.55,0.55,0.35,0.1,0.5922,0.05,0.8
0.4,0.55,0.55,0.3,0.15,0.5922,0.05,0.8
0.4,0.6,0.5,0.3,0.2,0.5922,0.0459,0.8
0.3,0.65,0.7,0.25,0.05,0.3941,-0.0078,0.8
0.3,0.65,0.65,0.3,0.05,0.3941,-0.0078,0.8
0.4,0.6,0.65,0.2,0.15,0.5922,0.0459,0.8
0.4,0.6,0.6,0.25,0.15,0.5922,0.0459,0.8
0.3,0.65,0.5,0.45,0.05,0.3941,-0.0173,0.8
0.3,0.65,0.5,0.4,0.1,0.3941,-0.0012,0.8
0.3,0.65,0.75,0.2,0.05,0.3941,-0.0197,0.8
0.3,0.65,0.6,0.35,0.05,0.3941,-0.0078,0.8
0.3,0.65,0.55,0.4,0.05,0.3941,-0.0046,0.8
0.25,0.65,0.75,0.2,0.05,0.2716,-0.0405,0.8
0.25,0.65,0.7,0.25,0.05,0.2716,-0.0336,0.8
0.4,0.6,0.55,0.3,0.15,0.5922,0.0459,0.8
0.25,0.7,0.55,0.3,0.15,0.2716,-0.0689,0.8
0.25,0.65,0.55,0.4,0.05,0.2716,-0.0439,0.8
0.25,0.65,0.6,0.35,0.05,0.2716,-0.0395,0.8
0.4,0.6,0.75,0.15,0.1,0.5922,0.0459,0.8
0.35,0.6,0.55,0.35,0.1,0.4843,-0.009,0.8
0.35,0.6,0.5,0.45,0.05,0.4843,-0.009,0.8
0.35,0.6,0.6,0.3,0.1,0.4843,-0.009,0.8
0.35,0.6,0.7,0.2,0.1,0.4843,-0.009,0.8
0.35,0.6,0.6,0.35,0.05,0.4843,-0.009,0.8
0.2,0.65,0.6,0.35,0.05,0.1773,-0.0249,0.8
0.2,0.65,0.75,0.2,0.05,0.1773,-0.0331,0.8
0.35,0.55,0.5,0.45,0.05,0.4843,-0.009,0.8
0.2,0.65,0.55,0.4,0.05,0.1773,-0.0035,0.8
0.35,0.55,0.55,0.4,0.05,0.4843,-0.009,0.8
0.2,0.7,0.55,0.3,0.15,0.1773,-0.0318,0.8
0.2,0.65,0.7,0.25,0.05,0.1773,-0.0247,0.8
0.2,0.65,0.65,0.3,0.05,0.1773,-0.0247,0.8
0.35,0.6,0.5,0.4,0.1,0.4843,-0.009,0.8
0.35,0.6,0.5,0.35,0.15,0.4843,-0.009,0.8
0.35,0.6,0.55,0.4,0.05,0.4843,-0.009,0.8
0.35,0.6,0.75,0.2,0.05,0.4843,-0.009,0.8
0.35,0.6,0.7,0.25,0.05,0.4843,-0.009,0.8
0.35,0.65,0.5,0.35,0.15,0.4843,0.0065,0.8
0.35,0.65,0.5,0.3,0.2,0.4843,0.0106,0.8
0.35,0.65,0.55,0.25,0.2,0.4843,0.0153,0.8
0.35,0.6,0.65,0.25,0.1,0.4843,-0.009,0.8
0.35,0.6,0.65,0.3,0.05,0.4843,-0.009,0.8
0.35,0.6,0.8,0.15,0.05,0.4843,-0.009,0.8
0.35,0.65,0.55,0.35,0.1,0.4843,0.0114,0.8
0.35,0.65,0.55,0.3,0.15,0.4843,0.0098,0.8
